source_file,listing_text,city,locality,property_type,bhk,sqft_builtup,sqft_uds,floor,facing,price_value,price_unit,price_in_inr,is_rental,rent_value,rent_unit,rent_in_inr,contact_numbers
MTClassifiedsFeb72026-1.pdf,MYLAPORE TIMESC L A S S I F I E D S Properties▲ REAL ESTATE BUYING,Chennai,Mylapore,Unknown,,,,,,,,,False,,,,
MTClassifiedsFeb72026-1.pdf,"3 BHK apartment, less than 5 years old at a calm good location at RA Puram, Abiramapuram, Mylapore, Karpagam Garden, Besant Nagar, Indra Nagar. Latha Seshadri: 9841568272, 7708229112",Chennai,Mylapore,Apartment,3.0,,,,,,,,False,,,,"9841568272, 7708229112"
MTClassifiedsFeb72026-1.pdf,WANTED ground floor flat 2 or 3 BHK for buying in Mylapore or nearby areas. Ph: 9840794684 REAL ESTATE SELLING,Chennai,Mylapore,Apartment,3.0,,,,,,,,False,,,,9840794684
MTClassifiedsFeb72026-1.pdf,"1 BHK flat for sale in Mandaveli Market, ground floor, brokers excuse. Owner: 9841956340",Chennai,Mandaveli,Apartment,1.0,,,,,,,,False,,,,9841956340
MTClassifiedsFeb72026-1.pdf,"FOR sale, 3 BHK apartment, 1479 sq.ft., Alwarpet signal, Rate 1.25 crore. For detail Contact: 7639465659",Chennai,Alwarpet,Apartment,3.0,1479.0,,,,1.25,crore,12500000.0,False,,,,7639465659
MTClassifiedsFeb72026-1.pdf,"ROYAPETTAH, Avvai Shanmugam Salai, 2 BHK, 980 sq.ft., with UDS 584 sq.ft., 2nd floor, open car park, no lift, Rate 1.5 crore, near ADMK Office. Contact: 9080410510, 9941850856",Chennai,,Commercial,2.0,980.0,584.0,2.0,,1.5,crore,15000000.0,False,,,,"9080410510, 9941850856"
MTClassifiedsFeb72026-1.pdf,"ALWARPET, brand new, 3500 sq.ft., 4 bedroom, 3 car park, east facing, Rs. 28000 per sq.ft., nego. Ph: 7299141164",Chennai,Alwarpet,Unknown,,3500.0,,,East,,,,False,28000.0,,28000.0,7299141164
MTClassifiedsFeb72026-1.pdf,"ALWARPET, Sriram Colony, ground floor, 2650 sq.ft., 4 BHK, 1 & 2nd floor, 3 BHK, each flat one CCP, stilt + 2, totally 5 apartments. Contact: 7358277097, 9884417597",Chennai,Alwarpet,Apartment,4.0,2650.0,,2.0,,,,,False,,,,"7358277097, 9884417597"
MTClassifiedsFeb72026-1.pdf,"SAN THOME, 3.25 grounds land, built in 9000 sq.ft., with swimming pool, 6 car parking, Rate 21 crore, negotiable. S. John: 9444360000, 9710360000",Chennai,San Thome,Land,,9000.0,,,,21.0,crore,210000000.0,False,,,,"9444360000, 9710360000"
MTClassifiedsFeb72026-1.pdf,"MANGADU near Temple, 1100 sq.ft., CMDA approved, 3 plots, 2400 sq.ft., ind- house, income property, Rate 2 crore. Agent: 9342688092",Chennai,,Land,,1100.0,,,,2.0,crore,20000000.0,False,,,,9342688092
MTClassifiedsFeb72026-1.pdf,"SALE independent house, Mylapore, near R K Salai & Vivekananda College, land 1.45 ground with livable, 6 BHK house, 3 car park etc. Agent: 6383563425",Chennai,Mylapore,Land,6.0,,,,,,,,False,,,,6383563425
MTClassifiedsFeb72026-1.pdf,"SAN THOME, land area, 4775 sq.ft., frontage 64 feet, north facing, 20 feet road, Rate 11 crore, nego. Ph: 9962433183",Chennai,San Thome,Land,,4775.0,,,North,11.0,crore,110000000.0,False,,,,9962433183
MTClassifiedsFeb72026-1.pdf,"NEW flat for sale, Besant Nagar, panoramic view of greenery, 1 apartment per floor, 2630 sq.ft., + 470 sq.ft., private terrace, 2 CCP, Rate 6.8 crores. Vaidyanath Estates: 9710424456",Chennai,Besant Nagar,Apartment,,2630.0,,,,6.8,crores,68000000.0,False,,,,9710424456
MTClassifiedsFeb72026-1.pdf,"BESANT Nagar, prime location, 1 apartment per floor, 3110 sq.ft., 2 CCP, Rate 7.35 crore. Vaidyanath Estates: 9710424456",Chennai,Besant Nagar,Apartment,,3110.0,,,,7.35,crore,73500000.0,False,,,,9710424456
MTClassifiedsFeb72026-1.pdf,"NEW flat for sale, Adyar prime location, veg only, 2600 sq.ft., 1 apartment per floor, Rate 5.95 crore. Vaidyanath Estates: 9710424456",Chennai,Adyar,Apartment,,2600.0,,,,5.95,crore,59500000.0,False,,,,9710424456
MTClassifiedsFeb72026-1.pdf,"MANDAVELI on the Main Road, near Chettinadu School, 2 BHK flat, north facing, ground floor, 1050 sq.ft., UDS 650 sq.ft., 22 years old, 1 car park, Rate 1.60 crores. Mylapore, Ranga Road, 3 BHK flat, 1900 sq.ft., UDS 900 sq.ft., 9 years old, lift, power backup, 1 covered car park, Rate 3.60 crores. Ph: 8939596955",Chennai,Mylapore,Apartment,2.0,1050.0,650.0,,North,1.6,crores,16000000.0,False,,,,8939596955
